Date,Open,High,Low,Close
2023-03-09,0.31761,0.32142,0.30315,0.30968
2023-03-10,0.30975,0.31773,0.29848,0.31534
2023-03-11,0.31533,0.32279,0.30455,0.30733
2023-03-12,0.30732,0.33154,0.30441,0.33154
2023-03-13,0.3316,0.35208,0.32869,0.34459
2023-03-14,0.34458,0.36849,0.33923,0.34431
2023-03-15,0.34439,0.34803,0.31772,0.32464
2023-03-16,0.32477,0.32951,0.32001,0.32538
2023-03-17,0.3254,0.35052,0.32264,0.35052
2023-03-18,0.35054,0.3566,0.33699,0.33771
2023-03-19,0.33772,0.3527,0.33772,0.34601
2023-03-20,0.34596,0.34674,0.33213,0.33259
2023-03-21,0.33262,0.38427,0.33181,0.37124
2023-03-22,0.37119,0.38696,0.35148,0.36061
2023-03-23,0.36058,0.38436,0.35505,0.37205
2023-03-24,0.37206,0.37272,0.35703,0.36008
2023-03-25,0.3601,0.36288,0.34995,0.352
2023-03-26,0.352,0.36141,0.3498,0.35625
2023-03-27,0.35625,0.35699,0.33874,0.34551
2023-03-28,0.34556,0.36946,0.34381,0.36835
2023-03-29,0.3683,0.38951,0.36743,0.38159
2023-03-30,0.38161,0.38693,0.3709,0.37646
2023-03-31,0.3765,0.40794,0.37508,0.39892
2023-04-01,0.39888,0.40123,0.38275,0.38539
2023-04-02,0.3932,0.3932,0.37732,0.38175
2023-04-03,0.38173,0.40347,0.37288,0.38714
2023-04-04,0.38715,0.39944,0.38571,0.38968
2023-04-05,0.38969,0.39959,0.38792,0.39236
2023-04-06,0.39238,0.39247,0.37772,0.38321
2023-04-07,0.3832,0.38494,0.37721,0.38364
2023-04-08,0.38363,0.39025,0.38109,0.38563
2023-04-09,0.38566,0.39275,0.38528,0.38969
2023-04-10,0.3897,0.39742,0.38549,0.39699
2023-04-11,0.39704,0.41163,0.39626,0.40146
2023-04-12,0.40149,0.40931,0.39027,0.40656
2023-04-13,0.40487,0.42818,0.40187,0.42576
2023-04-14,0.42574,0.44408,0.42518,0.43833
2023-04-15,0.43834,0.46056,0.43281,0.45328
2023-04-16,0.45327,0.45727,0.44428,0.45175
2023-04-17,0.45176,0.45176,0.43317,0.43417
2023-04-18,0.4342,0.44775,0.42962,0.44375
2023-04-19,0.44373,0.44373,0.41204,0.41579
2023-04-20,0.4158,0.42167,0.3974,0.40073
2023-04-21,0.40073,0.40641,0.38041,0.38294
2023-04-22,0.38295,0.39853,0.38172,0.39615
2023-04-23,0.39612,0.39612,0.38197,0.389
2023-04-24,0.389,0.39661,0.38129,0.38392
2023-04-25,0.38391,0.39497,0.37779,0.39492
2023-04-26,0.39489,0.41658,0.38246,0.4015
2023-04-27,0.4015,0.41787,0.40147,0.40984
2023-04-28,0.40986,0.41064,0.39916,0.40493
2023-04-29,0.40492,0.40749,0.40194,0.40278
2023-04-30,0.40278,0.41458,0.39635,0.39735
2023-05-01,0.39728,0.39775,0.38163,0.38686
2023-05-02,0.38685,0.39455,0.38302,0.39177
2023-05-03,0.39177,0.39612,0.37938,0.39394
2023-05-04,0.39396,0.39604,0.38589,0.38745
2023-05-05,0.38745,0.39663,0.38567,0.39468
2023-05-06,0.39469,0.39672,0.37658,0.38012
2023-05-07,0.38009,0.38349,0.37661,0.37691
2023-05-08,0.3769,0.37968,0.35856,0.36583
2023-05-09,0.36579,0.36951,0.3609,0.36381
